log_id,timestamp,total_crawled,new_articles,duplicates,errors,sources_stats,created_at
1,2026-02-19 23:03:18,57,33,19,5,"{""Wall Street Journal"": {""crawled"": 15, ""new"": 8, ""duplicates"": 5, ""errors"": 2}, ""Financial Times"": {""crawled"": 12, ""new"": 7, ""duplicates"": 4, ""errors"": 1}, ""MarketWatch"": {""crawled"": 10, ""new"": 6, ""duplicates"": 3, ""errors"": 1}, ""Seeking Alpha"": {""crawled"": 20, ""new"": 12, ""duplicates"": 7, ""errors"": 1}}",2026-02-19 23:03:18
2,2026-02-23 17:30:21.478605,106,106,0,0,"{""Wall Street Journal"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Financial Times"": {""crawled"": 9, ""new"": 9, ""duplicates"": 0, ""errors"": 0}, ""CNBC"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""MarketWatch"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Yahoo Finance"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Benzinga"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Motley Fool"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Insider Monkey"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""The Economist"": {""crawled"": 7, ""new"": 7, ""duplicates"": 0, ""errors"": 0}, ""Fortune"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""CoinDesk"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Crypto News"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""U.S. News Money"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}}",2026-02-23 17:30:21.47885
3,2026-02-25 12:03:49.209553,0,0,0,130,"{""Wall Street Journal"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Financial Times"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""CNBC"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""MarketWatch"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Yahoo Finance"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Benzinga"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Motley Fool"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Insider Monkey"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""The Economist"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Fortune"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""CoinDesk"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Crypto News"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""U.S. News Money"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}}",2026-02-25 12:03:49.209575
4,2026-03-02 17:40:54.647209,0,0,0,130,"{""Wall Street Journal"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Financial Times"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""CNBC"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""MarketWatch"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Yahoo Finance"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Benzinga"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Motley Fool"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Insider Monkey"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""The Economist"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Fortune"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""CoinDesk"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""Crypto News"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}, ""U.S. News Money"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 10}}",2026-03-02 17:40:54.647228
5,2026-03-02 17:53:57.293274,86,86,20,0,"{""Wall Street Journal"": {""crawled"": 0, ""new"": 0, ""duplicates"": 10, ""errors"": 0}, ""Financial Times"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""CNBC"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""MarketWatch"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Yahoo Finance"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Benzinga"": {""crawled"": 3, ""new"": 3, ""duplicates"": 7, ""errors"": 0}, ""Motley Fool"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Insider Monkey"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""The Economist"": {""crawled"": 3, ""new"": 3, ""duplicates"": 3, ""errors"": 0}, ""Fortune"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""CoinDesk"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Crypto News"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""U.S. News Money"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}}",2026-03-02 17:53:57.293434
6,2026-03-04 13:14:41.957216,78,78,23,0,"{""Wall Street Journal"": {""crawled"": 0, ""new"": 0, ""duplicates"": 10, ""errors"": 0}, ""Financial Times"": {""crawled"": 9, ""new"": 9, ""duplicates"": 0, ""errors"": 0}, ""CNBC"": {""crawled"": 9, ""new"": 9, ""duplicates"": 0, ""errors"": 0}, ""MarketWatch"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""Yahoo Finance"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Benzinga"": {""crawled"": 2, ""new"": 2, ""duplicates"": 8, ""errors"": 0}, ""Motley Fool"": {""crawled"": 7, ""new"": 7, ""duplicates"": 0, ""errors"": 0}, ""Insider Monkey"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""The Economist"": {""crawled"": 2, ""new"": 2, ""duplicates"": 5, ""errors"": 0}, ""Fortune"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""CoinDesk"": {""crawled"": 0, ""new"": 0, ""duplicates"": 0, ""errors"": 0}, ""Crypto News"": {""crawled"": 10, ""new"": 10, ""duplicates"": 0, ""errors"": 0}, ""U.S. News Money"": {""crawled"": 9, ""new"": 9, ""duplicates"": 0, ""errors"": 0}}",2026-03-04 13:14:41.957253
